PUB_MONTH,TRAIT_COUNT
2005-03,1
2005-09,1
2006-04,2
2006-09,1
2006-10,3
2006-12,2
2007-01,1
2007-02,2
2007-03,3
2007-04,13
2007-05,9
2007-06,12
2007-07,16
2007-08,4
2007-09,74
2007-10,7
2007-11,5
2007-12,4
2008-01,18
2008-02,8
2008-03,14
2008-04,14
2008-05,51
2008-06,10
2008-07,9
2008-08,12
2008-09,12
2008-10,22
2008-11,25
2008-12,33
2009-01,21
2009-02,51
2009-03,18
2009-04,23
2009-05,36
2009-06,13
2009-07,21
2009-08,22
2009-09,30
2009-10,31
2009-11,18
2009-12,23
2010-01,33
2010-02,48
2010-03,37
2010-04,30
2010-05,16
2010-06,37
2010-07,32
2010-08,43
2010-09,44
2010-10,38
2010-11,50
2010-12,38
2011-01,32
2011-02,37
2011-03,29
2011-04,36
2011-05,31
2011-06,52
2011-07,50
2011-08,37
2011-09,55
2011-10,50
2011-11,43
2011-12,36
2012-01,35
2012-02,39
2012-03,42
2012-04,43
2012-05,48
2012-06,35
2012-07,46
2012-08,36
2012-09,49
2012-10,26
2012-11,40
2012-12,117
2013-01,49
2013-02,48
2013-03,50
2013-04,59
2013-05,70
2013-06,35
2013-07,28
2013-08,51
2013-09,67
2013-10,51
2013-11,42
2013-12,32
2014-01,22
2014-02,37
2014-03,27
2014-04,33
2014-05,30
2014-06,63
2014-07,45
2014-08,45
2014-09,90
2014-10,57
2014-11,31
2014-12,73
2015-01,51
2015-02,42
2015-03,56
2015-04,56
2015-05,86
2015-06,98
2015-07,49
2015-08,18
2015-09,21
2015-10,4
2015-11,3
2015-12,1
2016-01,19
2016-02,8
2016-03,4
